date,고흥·녹동항,당진·삽교호,부산·광안리
2023-01-01,0.0,0.0,2.72724
2023-01-02,0.0,0.0,1.00729
2023-01-03,0.0,0.0,0.66599
2023-01-04,0.0,0.0,0.56628
2023-01-05,0.0,0.0,0.83792
2023-01-06,0.0,0.0,1.55504
2023-01-07,0.0,0.0,3.42008
2023-01-08,0.0,0.0,0.9421
2023-01-09,0.0,0.0,0.76122
2023-01-10,0.0,0.0,0.54391
2023-01-11,0.0,0.0,0.55733
2023-01-12,0.0,0.0,0.57267
2023-01-13,0.0,0.0,0.74716
2023-01-14,0.0,0.0,1.95323
2023-01-15,0.0,0.0,0.49725
2023-01-16,0.0,0.0,0.43462
2023-01-17,0.0,0.0,0.48575
2023-01-18,0.0,0.0,0.52857
2023-01-19,0.0,0.0,0.6564
2023-01-20,0.0,0.0,0.96958
2023-01-21,0.0,0.0,4.13018
2023-01-22,0.0,0.0,1.85289
2023-01-23,0.0,0.0,1.54674
2023-01-24,0.0,0.0,1.96538
2023-01-25,0.0,0.0,1.12618
2023-01-26,0.0,0.0,0.91078
2023-01-27,0.0,0.0,1.04884
2023-01-28,0.0,0.0,3.17657
2023-01-29,0.0,0.0,0.82705
2023-01-30,0.0,0.0,0.6743
2023-01-31,0.0,0.0,0.59376
2023-02-01,0.0,0.0,0.63659
2023-02-02,0.0,0.0,0.74205
2023-02-03,0.0,0.0,0.96703
2023-02-04,0.0,0.0,3.27052
2023-02-05,0.0,0.0,0.92548
2023-02-06,0.0,0.0,0.69411
2023-02-07,0.0,0.0,0.60527
2023-02-08,0.0,0.0,0.62444
2023-02-09,0.0,0.0,0.58993
2023-02-10,0.0,0.0,0.85901
2023-02-11,0.0,0.0,3.5722
2023-02-12,0.0,0.0,1.02455
2023-02-13,0.0,0.0,0.78487
2023-02-14,0.0,0.0,0.76122
2023-02-15,0.0,0.0,0.67621
2023-02-16,0.0,0.0,0.69731
2023-02-17,0.0,0.0,0.94977
2023-02-18,0.0,0.0,2.61795
2023-02-19,0.0,0.0,0.77528
2023-02-20,0.0,0.0,0.55669
2023-02-21,0.0,0.0,0.5388
2023-02-22,0.0,0.0,0.52154
2023-02-23,0.0,0.0,0.63531
2023-02-24,0.0,0.0,0.96
2023-02-25,0.0,0.0,3.75627
2023-02-26,0.0,0.0,0.81683
2023-02-27,0.0,0.0,0.49342
2023-02-28,0.00319,0.0,0.46721
2023-03-01,0.0,0.0,0.49597
2023-03-02,0.0,0.0,0.37773
2023-03-03,0.0,0.0,0.61422
2023-03-04,0.0,0.0,2.86338
2023-03-05,0.0,0.0,0.65704
2023-03-06,0.0,0.0,0.45251
